Ad_ID,Ad_Name,Account,Campaign,Creative_ID,Status,Performance_Rating,CPA,CVR,CTR,Spend,Purchases,Video_Views,Hook_Rate,Facebook_Preview_Link,Meta_Video_URL,Google_Drive_Download_Link,Google_Drive_View_Link,Creative_Type,Hook_Type,Targeting,Priority,Notes,Download_Command
300001000000001,video: Veo 3 Video 1,GoogleFlow,Veo 3 Generated Content,300001000000001,ACTIVE,PENDING_ANALYSIS,TBD,TBD,TBD,0.00,0,0,TBD,TBD,"https://rr3---sn-a5mlrnlz.googlevideo.com/videoplayback?expire=1750804050&ei=MgpbaM6TAsyHt7EPk6DTsAE&ip=76.167.183.205&id=865e4c8f122f460e&itag=22&source=contrib_service_ai_sandbox&begin=0&requiressl=yes&xpc=EghoqJzIP3oBAQ==&met=1750796850,&mh=bF&mm=32&mn=sn-a5mlrnlz&ms=su&mv=m&mvi=3&pl=15&rms=su,su&sc=yes&susc=aisbx&obr=https://labs.google&acao=yes&app=fife&ic=1076&eaua=_rZ0JU_C56M&pcm2=yes&mime=video/mp4&vprv=1&rqh=1&dur=8.057&lmt=1750752370018692&mt=1750796464&txp=0001224&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,susc,obr,acao,app,ic,eaua,pcm2,mime,vprv,rqh,dur,lmt&sig=AJfQdSswRQIhAMw1howITkWKgixE1ibC9QoEcv86N_JFrESN9pjWbmZ_AiAWAkiHQgzbcj34onmqnslezi3Ge27j4-WSdYY5atsjjA==&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms,sc&lsig=APaTxxMwRAIgZ6ltZfz4jpo0EShBEx17b-LGSdxz8OEGvHp55Iq5KNgCIAkgAp_9_Ewj7XwUtGJiqax_CePpsviyBd-8oc8GfjA_",TBD,TBD,AI Generated - Veo 3,TBD,Broad,🔍 VEO3_REVIEW,Veo 3 - Quality | Generated: 2025-06-24 | Flow Project Video 1,"yt-dlp ""https://rr3---sn-a5mlrnlz.googlevideo.com/videoplayback?expire=1750804050&ei=MgpbaM6TAsyHt7EPk6DTsAE&ip=76.167.183.205&id=865e4c8f122f460e&itag=22&source=contrib_service_ai_sandbox&begin=0&requiressl=yes&xpc=EghoqJzIP3oBAQ==&met=1750796850,&mh=bF&mm=32&mn=sn-a5mlrnlz&ms=su&mv=m&mvi=3&pl=15&rms=su,su&sc=yes&susc=aisbx&obr=https://labs.google&acao=yes&app=fife&ic=1076&eaua=_rZ0JU_C56M&pcm2=yes&mime=video/mp4&vprv=1&rqh=1&dur=8.057&lmt=1750752370018692&mt=1750796464&txp=0001224&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,susc,obr,acao,app,ic,eaua,pcm2,mime,vprv,rqh,dur,lmt&sig=AJfQdSswRQIhAMw1howITkWKgixE1ibC9QoEcv86N_JFrESN9pjWbmZ_AiAWAkiHQgzbcj34onmqnslezi3Ge27j4-WSdYY5atsjjA==&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms,sc&lsig=APaTxxMwRAIgZ6ltZfz4jpo0EShBEx17b-LGSdxz8OEGvHp55Iq5KNgCIAkgAp_9_Ewj7XwUtGJiqax_CePpsviyBd-8oc8GfjA_"" -f ""best[ext=mp4]"" -o ""Veo_3_Video_1.%(ext)s"""
300001000000002,video: Veo 3 Video 2,GoogleFlow,Veo 3 Generated Content,300001000000002,ACTIVE,PENDING_ANALYSIS,TBD,TBD,TBD,0.00,0,0,TBD,TBD,"https://rr3---sn-a5mlrnlz.googlevideo.com/videoplayback?expire=1750804050&ei=MgpbaM6TAsyHt7EPk6DTsAE&ip=76.167.183.205&id=865e4c8f122f460e&itag=22&source=contrib_service_ai_sandbox&begin=0&requiressl=yes&xpc=EghoqJzIP3oBAQ==&met=1750796850,&mh=bF&mm=32&mn=sn-a5mlrnlz&ms=su&mv=m&mvi=3&pl=15&rms=su,su&sc=yes&susc=aisbx&obr=https://labs.google&acao=yes&app=fife&ic=1076&eaua=_rZ0JU_C56M&pcm2=yes&mime=video/mp4&vprv=1&rqh=1&dur=8.057&lmt=1750752370018692&mt=1750796464&txp=0001224&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,susc,obr,acao,app,ic,eaua,pcm2,mime,vprv,rqh,dur,lmt&sig=AJfQdSswRQIhAMw1howITkWKgixE1ibC9QoEcv86N_JFrESN9pjWbmZ_AiAWAkiHQgzbcj34onmqnslezi3Ge27j4-WSdYY5atsjjA==&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms,sc&lsig=APaTxxMwRAIgZ6ltZfz4jpo0EShBEx17b-LGSdxz8OEGvHp55Iq5KNgCIAkgAp_9_Ewj7XwUtGJiqax_CePpsviyBd-8oc8GfjA_",TBD,TBD,AI Generated - Veo 3,TBD,Broad,🔍 VEO3_REVIEW,Veo 3 - Quality | Generated: 2025-06-24 | Flow Project Video 2,"yt-dlp ""https://rr3---sn-a5mlrnlz.googlevideo.com/videoplayback?expire=1750804050&ei=MgpbaM6TAsyHt7EPk6DTsAE&ip=76.167.183.205&id=865e4c8f122f460e&itag=22&source=contrib_service_ai_sandbox&begin=0&requiressl=yes&xpc=EghoqJzIP3oBAQ==&met=1750796850,&mh=bF&mm=32&mn=sn-a5mlrnlz&ms=su&mv=m&mvi=3&pl=15&rms=su,su&sc=yes&susc=aisbx&obr=https://labs.google&acao=yes&app=fife&ic=1076&eaua=_rZ0JU_C56M&pcm2=yes&mime=video/mp4&vprv=1&rqh=1&dur=8.057&lmt=1750752370018692&mt=1750796464&txp=0001224&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,susc,obr,acao,app,ic,eaua,pcm2,mime,vprv,rqh,dur,lmt&sig=AJfQdSswRQIhAMw1howITkWKgixE1ibC9QoEcv86N_JFrESN9pjWbmZ_AiAWAkiHQgzbcj34onmqnslezi3Ge27j4-WSdYY5atsjjA==&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms,sc&lsig=APaTxxMwRAIgZ6ltZfz4jpo0EShBEx17b-LGSdxz8OEGvHp55Iq5KNgCIAkgAp_9_Ewj7XwUtGJiqax_CePpsviyBd-8oc8GfjA_"" -f ""best[ext=mp4]"" -o ""Veo_3_Video_2.%(ext)s"""
300001000000003,video: Veo 3 Video 3,GoogleFlow,Veo 3 Generated Content,300001000000003,ACTIVE,PENDING_ANALYSIS,TBD,TBD,TBD,0.00,0,0,TBD,TBD,"https://rr3---sn-a5mlrnlz.googlevideo.com/videoplayback?expire=1750804050&ei=MgpbaM6TAsyHt7EPk6DTsAE&ip=76.167.183.205&id=865e4c8f122f460e&itag=22&source=contrib_service_ai_sandbox&begin=0&requiressl=yes&xpc=EghoqJzIP3oBAQ==&met=1750796850,&mh=bF&mm=32&mn=sn-a5mlrnlz&ms=su&mv=m&mvi=3&pl=15&rms=su,su&sc=yes&susc=aisbx&obr=https://labs.google&acao=yes&app=fife&ic=1076&eaua=_rZ0JU_C56M&pcm2=yes&mime=video/mp4&vprv=1&rqh=1&dur=8.057&lmt=1750752370018692&mt=1750796464&txp=0001224&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,susc,obr,acao,app,ic,eaua,pcm2,mime,vprv,rqh,dur,lmt&sig=AJfQdSswRQIhAMw1howITkWKgixE1ibC9QoEcv86N_JFrESN9pjWbmZ_AiAWAkiHQgzbcj34onmqnslezi3Ge27j4-WSdYY5atsjjA==&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms,sc&lsig=APaTxxMwRAIgZ6ltZfz4jpo0EShBEx17b-LGSdxz8OEGvHp55Iq5KNgCIAkgAp_9_Ewj7XwUtGJiqax_CePpsviyBd-8oc8GfjA_",TBD,TBD,AI Generated - Veo 3,TBD,Broad,🔍 VEO3_REVIEW,Veo 3 - Quality | Generated: 2025-06-24 | Flow Project Video 3,"yt-dlp ""https://rr3---sn-a5mlrnlz.googlevideo.com/videoplayback?expire=1750804050&ei=MgpbaM6TAsyHt7EPk6DTsAE&ip=76.167.183.205&id=865e4c8f122f460e&itag=22&source=contrib_service_ai_sandbox&begin=0&requiressl=yes&xpc=EghoqJzIP3oBAQ==&met=1750796850,&mh=bF&mm=32&mn=sn-a5mlrnlz&ms=su&mv=m&mvi=3&pl=15&rms=su,su&sc=yes&susc=aisbx&obr=https://labs.google&acao=yes&app=fife&ic=1076&eaua=_rZ0JU_C56M&pcm2=yes&mime=video/mp4&vprv=1&rqh=1&dur=8.057&lmt=1750752370018692&mt=1750796464&txp=0001224&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,susc,obr,acao,app,ic,eaua,pcm2,mime,vprv,rqh,dur,lmt&sig=AJfQdSswRQIhAMw1howITkWKgixE1ibC9QoEcv86N_JFrESN9pjWbmZ_AiAWAkiHQgzbcj34onmqnslezi3Ge27j4-WSdYY5atsjjA==&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms,sc&lsig=APaTxxMwRAIgZ6ltZfz4jpo0EShBEx17b-LGSdxz8OEGvHp55Iq5KNgCIAkgAp_9_Ewj7XwUtGJiqax_CePpsviyBd-8oc8GfjA_"" -f ""best[ext=mp4]"" -o ""Veo_3_Video_3.%(ext)s"""
