Ad_ID,Ad_Name,Account,Campaign,Creative_ID,Status,Performance_Rating,CPA,CVR,CTR,Spend,Purchases,Video_Views,Hook_Rate,Facebook_Preview_Link,Meta_Video_URL,Google_Drive_Download_Link,Google_Drive_View_Link,Creative_Type,Hook_Type,Targeting,Priority,Notes,Download_Command
300001000000001,video: Veo 3 Quality Video 1,GoogleFlow,Veo 3 Generated Content,300001000000001,ACTIVE,PENDING_ANALYSIS,TBD,TBD,TBD,0.00,0,0,TBD,TBD,"https://rr4---sn-a5meknds.googlevideo.com/videoplayback?expire=1750804740&ei=5AxbaM-zMPazn88P8_75gAs&ip=76.167.183.205&id=bef49c9b5f198a48&itag=22&source=contrib_service_ai_sandbox&begin=0&requiressl=yes&xpc=EghoqJzIP3oBAQ==&met=1750797540,&mh=Hn&mm=32&mn=sn-a5meknds&ms=su&mv=m&mvi=4&pl=15&rms=su,su&sc=yes&susc=aisbx&app=fife&ic=1076&eaua=_rZ0JU_C56M&pcm2=yes&mime=video/mp4&vprv=1&rqh=1&dur=8.057&lmt=1750758744813746&mt=1750797183&txp=0001224&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,susc,app,ic,eaua,pcm2,mime,vprv,rqh,dur,lmt&sig=AJfQdSswRgIhALRIsYifH65ymb3Zh1uYuNKrZVjwrHrnXi-64-O_OfoyAiEApLR4vuHxWYcLrV2ib_0xNmcMaesfg_PuUeQccOuynC8=&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms,sc&lsig=APaTxxMwRQIhAKX7qlg8lWKBt27VpG0JB5hgOVCmQbS3MFhl3HSpCytwAiBJpXI4ElXbx9kVTti0Mr17512Vti7eewpoTpso7qKrbA==",TBD,TBD,AI Generated - Veo 3,TBD,Broad,🔍 VEO3_REVIEW,Veo 3 - Quality | Generated: 2025-06-24 | Hover Extraction 1 | URL Status: ✅ Found,"yt-dlp ""https://rr4---sn-a5meknds.googlevideo.com/videoplayback?expire=1750804740&ei=5AxbaM-zMPazn88P8_75gAs&ip=76.167.183.205&id=bef49c9b5f198a48&itag=22&source=contrib_service_ai_sandbox&begin=0&requiressl=yes&xpc=EghoqJzIP3oBAQ==&met=1750797540,&mh=Hn&mm=32&mn=sn-a5meknds&ms=su&mv=m&mvi=4&pl=15&rms=su,su&sc=yes&susc=aisbx&app=fife&ic=1076&eaua=_rZ0JU_C56M&pcm2=yes&mime=video/mp4&vprv=1&rqh=1&dur=8.057&lmt=1750758744813746&mt=1750797183&txp=0001224&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,susc,app,ic,eaua,pcm2,mime,vprv,rqh,dur,lmt&sig=AJfQdSswRgIhALRIsYifH65ymb3Zh1uYuNKrZVjwrHrnXi-64-O_OfoyAiEApLR4vuHxWYcLrV2ib_0xNmcMaesfg_PuUeQccOuynC8=&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms,sc&lsig=APaTxxMwRQIhAKX7qlg8lWKBt27VpG0JB5hgOVCmQbS3MFhl3HSpCytwAiBJpXI4ElXbx9kVTti0Mr17512Vti7eewpoTpso7qKrbA=="" -f ""best[ext=mp4]"" -o ""Veo_3_Quality_Video_1.%(ext)s"""
300001000000002,video: Veo 3 Quality Video 2,GoogleFlow,Veo 3 Generated Content,300001000000002,ACTIVE,PENDING_ANALYSIS,TBD,TBD,TBD,0.00,0,0,TBD,TBD,"https://rr4---sn-a5meknds.googlevideo.com/videoplayback?expire=1750804740&ei=5AxbaM-zMPazn88P8_75gAs&ip=76.167.183.205&id=bef49c9b5f198a48&itag=22&source=contrib_service_ai_sandbox&begin=0&requiressl=yes&xpc=EghoqJzIP3oBAQ==&met=1750797540,&mh=Hn&mm=32&mn=sn-a5meknds&ms=su&mv=m&mvi=4&pl=15&rms=su,su&sc=yes&susc=aisbx&app=fife&ic=1076&eaua=_rZ0JU_C56M&pcm2=yes&mime=video/mp4&vprv=1&rqh=1&dur=8.057&lmt=1750758744813746&mt=1750797183&txp=0001224&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,susc,app,ic,eaua,pcm2,mime,vprv,rqh,dur,lmt&sig=AJfQdSswRgIhALRIsYifH65ymb3Zh1uYuNKrZVjwrHrnXi-64-O_OfoyAiEApLR4vuHxWYcLrV2ib_0xNmcMaesfg_PuUeQccOuynC8=&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms,sc&lsig=APaTxxMwRQIhAKX7qlg8lWKBt27VpG0JB5hgOVCmQbS3MFhl3HSpCytwAiBJpXI4ElXbx9kVTti0Mr17512Vti7eewpoTpso7qKrbA==",TBD,TBD,AI Generated - Veo 3,TBD,Broad,🔍 VEO3_REVIEW,Veo 3 - Quality | Generated: 2025-06-24 | Hover Extraction 2 | URL Status: ✅ Found,"yt-dlp ""https://rr4---sn-a5meknds.googlevideo.com/videoplayback?expire=1750804740&ei=5AxbaM-zMPazn88P8_75gAs&ip=76.167.183.205&id=bef49c9b5f198a48&itag=22&source=contrib_service_ai_sandbox&begin=0&requiressl=yes&xpc=EghoqJzIP3oBAQ==&met=1750797540,&mh=Hn&mm=32&mn=sn-a5meknds&ms=su&mv=m&mvi=4&pl=15&rms=su,su&sc=yes&susc=aisbx&app=fife&ic=1076&eaua=_rZ0JU_C56M&pcm2=yes&mime=video/mp4&vprv=1&rqh=1&dur=8.057&lmt=1750758744813746&mt=1750797183&txp=0001224&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,susc,app,ic,eaua,pcm2,mime,vprv,rqh,dur,lmt&sig=AJfQdSswRgIhALRIsYifH65ymb3Zh1uYuNKrZVjwrHrnXi-64-O_OfoyAiEApLR4vuHxWYcLrV2ib_0xNmcMaesfg_PuUeQccOuynC8=&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms,sc&lsig=APaTxxMwRQIhAKX7qlg8lWKBt27VpG0JB5hgOVCmQbS3MFhl3HSpCytwAiBJpXI4ElXbx9kVTti0Mr17512Vti7eewpoTpso7qKrbA=="" -f ""best[ext=mp4]"" -o ""Veo_3_Quality_Video_2.%(ext)s"""
300001000000003,video: Veo 3 Quality Video 3,GoogleFlow,Veo 3 Generated Content,300001000000003,ACTIVE,PENDING_ANALYSIS,TBD,TBD,TBD,0.00,0,0,TBD,TBD,"https://rr4---sn-a5meknds.googlevideo.com/videoplayback?expire=1750804740&ei=5AxbaM-zMPazn88P8_75gAs&ip=76.167.183.205&id=bef49c9b5f198a48&itag=22&source=contrib_service_ai_sandbox&begin=0&requiressl=yes&xpc=EghoqJzIP3oBAQ==&met=1750797540,&mh=Hn&mm=32&mn=sn-a5meknds&ms=su&mv=m&mvi=4&pl=15&rms=su,su&sc=yes&susc=aisbx&app=fife&ic=1076&eaua=_rZ0JU_C56M&pcm2=yes&mime=video/mp4&vprv=1&rqh=1&dur=8.057&lmt=1750758744813746&mt=1750797183&txp=0001224&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,susc,app,ic,eaua,pcm2,mime,vprv,rqh,dur,lmt&sig=AJfQdSswRgIhALRIsYifH65ymb3Zh1uYuNKrZVjwrHrnXi-64-O_OfoyAiEApLR4vuHxWYcLrV2ib_0xNmcMaesfg_PuUeQccOuynC8=&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms,sc&lsig=APaTxxMwRQIhAKX7qlg8lWKBt27VpG0JB5hgOVCmQbS3MFhl3HSpCytwAiBJpXI4ElXbx9kVTti0Mr17512Vti7eewpoTpso7qKrbA==",TBD,TBD,AI Generated - Veo 3,TBD,Broad,🔍 VEO3_REVIEW,Veo 3 - Quality | Generated: 2025-06-24 | Hover Extraction 3 | URL Status: ✅ Found,"yt-dlp ""https://rr4---sn-a5meknds.googlevideo.com/videoplayback?expire=1750804740&ei=5AxbaM-zMPazn88P8_75gAs&ip=76.167.183.205&id=bef49c9b5f198a48&itag=22&source=contrib_service_ai_sandbox&begin=0&requiressl=yes&xpc=EghoqJzIP3oBAQ==&met=1750797540,&mh=Hn&mm=32&mn=sn-a5meknds&ms=su&mv=m&mvi=4&pl=15&rms=su,su&sc=yes&susc=aisbx&app=fife&ic=1076&eaua=_rZ0JU_C56M&pcm2=yes&mime=video/mp4&vprv=1&rqh=1&dur=8.057&lmt=1750758744813746&mt=1750797183&txp=0001224&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,susc,app,ic,eaua,pcm2,mime,vprv,rqh,dur,lmt&sig=AJfQdSswRgIhALRIsYifH65ymb3Zh1uYuNKrZVjwrHrnXi-64-O_OfoyAiEApLR4vuHxWYcLrV2ib_0xNmcMaesfg_PuUeQccOuynC8=&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms,sc&lsig=APaTxxMwRQIhAKX7qlg8lWKBt27VpG0JB5hgOVCmQbS3MFhl3HSpCytwAiBJpXI4ElXbx9kVTti0Mr17512Vti7eewpoTpso7qKrbA=="" -f ""best[ext=mp4]"" -o ""Veo_3_Quality_Video_3.%(ext)s"""
300001000000004,video: Veo 3 Quality Video 4,GoogleFlow,Veo 3 Generated Content,300001000000004,ACTIVE,PENDING_ANALYSIS,TBD,TBD,TBD,0.00,0,0,TBD,TBD,"https://rr4---sn-a5meknds.googlevideo.com/videoplayback?expire=1750804740&ei=5AxbaM-zMPazn88P8_75gAs&ip=76.167.183.205&id=bef49c9b5f198a48&itag=22&source=contrib_service_ai_sandbox&begin=0&requiressl=yes&xpc=EghoqJzIP3oBAQ==&met=1750797540,&mh=Hn&mm=32&mn=sn-a5meknds&ms=su&mv=m&mvi=4&pl=15&rms=su,su&sc=yes&susc=aisbx&app=fife&ic=1076&eaua=_rZ0JU_C56M&pcm2=yes&mime=video/mp4&vprv=1&rqh=1&dur=8.057&lmt=1750758744813746&mt=1750797183&txp=0001224&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,susc,app,ic,eaua,pcm2,mime,vprv,rqh,dur,lmt&sig=AJfQdSswRgIhALRIsYifH65ymb3Zh1uYuNKrZVjwrHrnXi-64-O_OfoyAiEApLR4vuHxWYcLrV2ib_0xNmcMaesfg_PuUeQccOuynC8=&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms,sc&lsig=APaTxxMwRQIhAKX7qlg8lWKBt27VpG0JB5hgOVCmQbS3MFhl3HSpCytwAiBJpXI4ElXbx9kVTti0Mr17512Vti7eewpoTpso7qKrbA==",TBD,TBD,AI Generated - Veo 3,TBD,Broad,🔍 VEO3_REVIEW,Veo 3 - Quality | Generated: 2025-06-24 | Hover Extraction 4 | URL Status: ✅ Found,"yt-dlp ""https://rr4---sn-a5meknds.googlevideo.com/videoplayback?expire=1750804740&ei=5AxbaM-zMPazn88P8_75gAs&ip=76.167.183.205&id=bef49c9b5f198a48&itag=22&source=contrib_service_ai_sandbox&begin=0&requiressl=yes&xpc=EghoqJzIP3oBAQ==&met=1750797540,&mh=Hn&mm=32&mn=sn-a5meknds&ms=su&mv=m&mvi=4&pl=15&rms=su,su&sc=yes&susc=aisbx&app=fife&ic=1076&eaua=_rZ0JU_C56M&pcm2=yes&mime=video/mp4&vprv=1&rqh=1&dur=8.057&lmt=1750758744813746&mt=1750797183&txp=0001224&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,susc,app,ic,eaua,pcm2,mime,vprv,rqh,dur,lmt&sig=AJfQdSswRgIhALRIsYifH65ymb3Zh1uYuNKrZVjwrHrnXi-64-O_OfoyAiEApLR4vuHxWYcLrV2ib_0xNmcMaesfg_PuUeQccOuynC8=&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms,sc&lsig=APaTxxMwRQIhAKX7qlg8lWKBt27VpG0JB5hgOVCmQbS3MFhl3HSpCytwAiBJpXI4ElXbx9kVTti0Mr17512Vti7eewpoTpso7qKrbA=="" -f ""best[ext=mp4]"" -o ""Veo_3_Quality_Video_4.%(ext)s"""
