Name,Brand,Creative_Type,Performance_Tier,Campaign_ID,File_Size_KB,Created_Date,Days_Ago,Directory_Source,GitHub_Download_Link,GitHub_View_Link,File_Type,Quality_Priority,Notes
USD_TurnedYellow_1210327987494412_image_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-0e26c5d6210d99e964.jpg,USD_TurnedYellow,image,,120223458675550108,269.48,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1210327987494412_image_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-0e26c5d6210d99e964.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1210327987494412_image_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-0e26c5d6210d99e964.jpg,jpg,1,Fresh download on 2025-06-25
USD_TurnedYellow_611116684592963_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-5cd1ec047b8e23f653.jpg,USD_TurnedYellow,video,,120223458675550108,8.54,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_611116684592963_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-5cd1ec047b8e23f653.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_611116684592963_video_Get_Dad_Laughing_Up_to_70_OFF__2025-05-28-5cd1ec047b8e23f653.jpg,jpg,1,Fresh download on 2025-06-25
USD_TurnedYellow_3998788930367636_video_Dad_s_Hilarious_New_Look_Up_to_70_Off_2025-05-20-8301f6205a3.jpg,USD_TurnedYellow,video,,120223458675550108,7.39,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_3998788930367636_video_Dad_s_Hilarious_New_Look_Up_to_70_Off_2025-05-20-8301f6205a3.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_3998788930367636_video_Dad_s_Hilarious_New_Look_Up_to_70_Off_2025-05-20-8301f6205a3.jpg,jpg,1,Fresh download on 2025-06-25
USD_TurnedYellow_722462166800755_image_Mom_But_Make_It_Cartoon__2025-05-05-535d3292ffa0a76c72146938.jpg,USD_TurnedYellow,image,,120220287515680108,183.75,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_722462166800755_image_Mom_But_Make_It_Cartoon__2025-05-05-535d3292ffa0a76c72146938.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_722462166800755_image_Mom_But_Make_It_Cartoon__2025-05-05-535d3292ffa0a76c72146938.jpg,jpg,1,Fresh download on 2025-06-25
USD_TurnedYellow_574743688489755_image_Mom_But_Make_It_Cartoon__2025-05-05-126814b5c3bd6543c529e644.jpg,USD_TurnedYellow,image,,120220287515680108,183.75,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_574743688489755_image_Mom_But_Make_It_Cartoon__2025-05-05-126814b5c3bd6543c529e644.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_574743688489755_image_Mom_But_Make_It_Cartoon__2025-05-05-126814b5c3bd6543c529e644.jpg,jpg,1,Fresh download on 2025-06-25
USD_TurnedYellow_1021068956786856_video_Gift_Laughter_This_Easter__2025-04-08-ecb48fbf783dea57df46fc.jpg,USD_TurnedYellow,video,,120219323497630108,9.54,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1021068956786856_video_Gift_Laughter_This_Easter__2025-04-08-ecb48fbf783dea57df46fc.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1021068956786856_video_Gift_Laughter_This_Easter__2025-04-08-ecb48fbf783dea57df46fc.jpg,jpg,1,Fresh download on 2025-06-25
USD_TurnedYellow_1568981233768433_image_Gift_Laughter_This_Easter__2025-04-08-b0dd0b930783ee6107a31e.jpg,USD_TurnedYellow,image,,120219323497630108,169.34,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1568981233768433_image_Gift_Laughter_This_Easter__2025-04-08-b0dd0b930783ee6107a31e.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1568981233768433_image_Gift_Laughter_This_Easter__2025-04-08-b0dd0b930783ee6107a31e.jpg,jpg,1,Fresh download on 2025-06-25
USD_TurnedYellow_1012217514184189_video_Gift_Laughter_This_Easter__2025-04-08-30ffa5ad24dcb8eba276e2.jpg,USD_TurnedYellow,video,,120219323497630108,6.67,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1012217514184189_video_Gift_Laughter_This_Easter__2025-04-08-30ffa5ad24dcb8eba276e2.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1012217514184189_video_Gift_Laughter_This_Easter__2025-04-08-30ffa5ad24dcb8eba276e2.jpg,jpg,1,Fresh download on 2025-06-25
USD_TurnedYellow_1186986756463023_video_Gift_Laughter_This_Easter__2025-04-08-b7eced1d172f9247dc4322.jpg,USD_TurnedYellow,video,,120219323497630108,6.67,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1186986756463023_video_Gift_Laughter_This_Easter__2025-04-08-b7eced1d172f9247dc4322.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1186986756463023_video_Gift_Laughter_This_Easter__2025-04-08-b7eced1d172f9247dc4322.jpg,jpg,1,Fresh download on 2025-06-25
USD_TurnedYellow_1116979426391043_image_The_Best_Valentine_s_Day_Gift_2025-01-24-3c72b760d5d4c4b482e.jpg,USD_TurnedYellow,image,,120214341522790108,176.68,2025-06-25,0,hd_ad_creatives,https://github.com/lac5q/creative-ads-repository/raw/main/hd_ad_creatives/USD_TurnedYellow_1116979426391043_image_The_Best_Valentine_s_Day_Gift_2025-01-24-3c72b760d5d4c4b482e.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/hd_ad_creatives/USD_TurnedYellow_1116979426391043_image_The_Best_Valentine_s_Day_Gift_2025-01-24-3c72b760d5d4c4b482e.jpg,jpg,1,Fresh download on 2025-06-25
