unique_id,filename,file_path,directory_source,file_size_kb,modification_date,days_ago,quality_priority,brand,campaign_id,ad_type,creative_name,performance_tier,file_type,github_download_url,github_view_url,is_recent
8f509f6a,MakeMeJedi_120215085657940354_image_CM_images__Enjoy_up_to_75_OFF.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120215085657940354_image_CM_images__Enjoy_up_to_75_OFF.jpg,creative-ads-repository,168.32,2025-06-24 22:45:39,0,3,MakeMeJedi,120215085657940,image,,,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120215085657940354_image_CM_images__Enjoy_up_to_75_OFF.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120215085657940354_image_CM_images__Enjoy_up_to_75_OFF.jpg,True
b915eef2,18_Valentines_Day_Reaction_image_2.png,creative-ads-repository/MakeMeJedi/18_Valentines_Day_Reaction_image_2.png,creative-ads-repository,38.04,2025-06-24 20:28:36,0,3,,,image,Valentines Day Reaction,💝 SEASONAL,png,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/18_Valentines_Day_Reaction_image_2.png,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/18_Valentines_Day_Reaction_image_2.png,True
1227ace8,MakeMeJedi_120228278851730354_gif_Fathers_Day_edited_P_2__Imagine_Dads_face.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120228278851730354_gif_Fathers_Day_edited_P_2__Imagine_Dads_face.jpg,creative-ads-repository,1.97,2025-06-24 22:45:01,0,3,MakeMeJedi,120228278851730,gif,Fathers Day Campaign,👨 FATHERS DAY,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120228278851730354_gif_Fathers_Day_edited_P_2__Imagine_Dads_face.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120228278851730354_gif_Fathers_Day_edited_P_2__Imagine_Dads_face.jpg,True
2175838d,MakeMeJedi_120228104008710354_video_Replicate_Winning_video_2__A_long_time_ago_p.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120228104008710354_video_Replicate_Winning_video_2__A_long_time_ago_p.jpg,creative-ads-repository,1.77,2025-06-24 22:45:04,0,3,MakeMeJedi,120228104008710,video,,,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120228104008710354_video_Replicate_Winning_video_2__A_long_time_ago_p.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120228104008710354_video_Replicate_Winning_video_2__A_long_time_ago_p.jpg,True
3ba9412c,MakeMeJedi_120228278851630354_video_Fathers_Day_edited_S_1__Imagine_Dads_face.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120228278851630354_video_Fathers_Day_edited_S_1__Imagine_Dads_face.jpg,creative-ads-repository,1.62,2025-06-24 22:45:00,0,3,MakeMeJedi,120228278851630,video,Fathers Day Campaign,👨 FATHERS DAY,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120228278851630354_video_Fathers_Day_edited_S_1__Imagine_Dads_face.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120228278851630354_video_Fathers_Day_edited_S_1__Imagine_Dads_face.jpg,True
36ed53e5,MakeMeJedi_120215085545760354_video_Early_BF__Enjoy_up_to_75_OFF.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120215085545760354_video_Early_BF__Enjoy_up_to_75_OFF.jpg,creative-ads-repository,1.91,2025-06-24 22:44:56,0,3,MakeMeJedi,120215085545760,video,Early Black Friday,,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120215085545760354_video_Early_BF__Enjoy_up_to_75_OFF.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120215085545760354_video_Early_BF__Enjoy_up_to_75_OFF.jpg,True
44ee4800,MakeMeJedi_120228103625330354_video_Replicate_Winning_video_1__This_Fathers_Day_.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120228103625330354_video_Replicate_Winning_video_1__This_Fathers_Day_.jpg,creative-ads-repository,1.95,2025-06-24 22:45:05,0,3,MakeMeJedi,120228103625330,video,Fathers Day Campaign,👨 FATHERS DAY,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120228103625330354_video_Replicate_Winning_video_1__This_Fathers_Day_.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120228103625330354_video_Replicate_Winning_video_1__This_Fathers_Day_.jpg,True
737f4280,MakeMeJedi_120204695408210354_video_jean__The_ULTIMATE_GIFT.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120204695408210354_video_jean__The_ULTIMATE_GIFT.jpg,creative-ads-repository,1.57,2025-06-24 22:45:06,0,3,MakeMeJedi,120204695408210,video,,,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120204695408210354_video_jean__The_ULTIMATE_GIFT.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120204695408210354_video_jean__The_ULTIMATE_GIFT.jpg,True
3cfe51e8,MakeMeJedi_120204514881620354_Video4.jpg,creative-ads-repository/MakeMeJedi/MakeMeJedi_120204514881620354_Video4.jpg,creative-ads-repository,1.87,2025-06-24 22:45:28,0,3,MakeMeJedi,120204514881620,video,,,jpg,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120204514881620354_Video4.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/MakeMeJedi_120204514881620354_Video4.jpg,True
b915eef2,18_Valentines_Day_Reaction_REAL_AD.png,creative-ads-repository/MakeMeJedi/18_Valentines_Day_Reaction_REAL_AD.png,creative-ads-repository,22.36,2025-06-24 20:39:11,0,3,,,,Valentines Day Reaction,🥇 WINNER,png,https://github.com/lac5q/creative-ads-repository/raw/main/creative-ads-repository/MakeMeJedi/18_Valentines_Day_Reaction_REAL_AD.png,https://github.com/lac5q/creative-ads-repository/blob/main/creative-ads-repository/MakeMeJedi/18_Valentines_Day_Reaction_REAL_AD.png,True
